solution status,position type,GPS tracking elevation cut-off angle,PRN,glofreq,tracking status,pseudorange measurement,doppler freq,Carrier to noise density ratio,locktime,pseudorange residual,range reject code,pseudorange filter weighting
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,01c02120,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,0000a140,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,00a02140,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,02208140,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,01c02140,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,0000a160,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,00a02160,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,02208160,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,01c02160,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,29,0,0800a186,0.000,2880.837,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,29,0,01202189,0.000,2244.808,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,29,0,02208189,0.000,2244.808,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,01c02180,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,0000a1a0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,00a021a0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,022081a0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,01c021a0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,0000a1c0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,00a021c0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,022081c0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,01c021c0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,0000a1e0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,00a021e0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,022081e0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,01c021e0,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,194,0,0805a206,0.000,123.336,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,194,0,02258209,0.000,96.106,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,194,0,01c52209,0.000,92.102,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,0005a220,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,02258220,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,01c52220,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,0005a240,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,02258240,0.000,0.000,0.000,0.000,0.000,NA,0.000
Solution computed,"INS position, where the last applied position update used a single point GNSS(SINGLE) solution",5.0,0,0,01c52240,0.000,0.000,0.000,0.000,0.000,NA,0.000
